#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.508472	 4.14322	  42.742	0.0616203	 2.46658	0.0276279	0.531645	0.0303909	 2.06721	 98.8891	 4.30274	 376.526	 3082.98	  124281
0.00694444	0.559876	 4.14468	  42.742	0.0523327	 2.51056	0.0254505	0.627264	0.0444744	 2.17963	 98.8866	 4.30383	 376.295	 3083.09	  105548
0.0104167	0.596855	 4.11886	  42.742	0.0499865	 2.54772	0.0273944	0.713468	0.0592958	 2.25888	 98.8849	 4.30517	 376.075	 3083.25	  100815
0.0138889	0.622314	 4.08371	  42.742	0.0513856	 2.58101	0.0297389	0.796474	0.0738243	 2.31625	 98.8836	 4.30654	  375.86	 3083.42	  103636
0.0173611	0.639456	 4.04155	  42.742	0.0541013	 2.61285	0.0319573	0.875739	0.0880068	 2.36221	 98.8823	 4.30791	  375.65	  3083.6	  109113
0.0208333	0.650646	  3.9926	  42.742	0.0570852	 2.64382	0.0339677	0.950771	0.101813	 2.40111	 98.8809	 4.30928	 375.444	 3083.78	  115130
0.0243056	0.657626	 3.93857	  42.742	0.0599684	 2.67429	0.035782	 1.02186	0.115218	 2.43527	 98.8793	 4.31062	 375.241	 3083.96	  120945
0.0277778	0.661704	 3.88082	  42.742	0.0626252	 2.70445	0.0374229	 1.08934	0.128227	 2.46612	 98.8775	 4.31195	 375.042	 3084.15	  126302
 0.03125	0.663805	 3.82045	  42.742	0.0650258	 2.73438	0.0389124	 1.15355	0.140855	 2.49456	 98.8756	 4.31325	 374.845	 3084.33	  131143
0.0347222	0.664579	 3.75835	  42.742	0.0671751	 2.76416	0.0402692	 1.21476	0.153114	 2.52116	 98.8734	 4.31452	 374.649	 3084.51	  135477
0.0381944	0.664497	 3.69527	  42.742	0.0690949	  2.7938	0.0415112	  1.2733	0.165027	 2.54633	 98.8711	 4.31577	 374.456	 3084.69	  139348
0.0416667	0.663869	 3.63179	  42.742	0.0708076	 2.82332	0.0426527	 1.32941	0.176611	 2.57035	 98.8687	   4.317	 374.263	 3084.87	  142802
0.0451389	0.662903	 3.56837	  42.742	0.072333	 2.85272	0.0437047	  1.3833	0.187881	 2.59338	  98.866	 4.31821	 374.072	 3085.04	  145878
0.0486111	0.661744	 3.50541	  42.742	0.073693	 2.88202	0.0446782	 1.43518	0.198857	 2.61557	 98.8633	 4.31939	 373.882	 3085.22	  148620
0.0520833	0.660481	 3.44319	  42.742	0.0749059	 2.91122	0.0455818	 1.48522	0.209556	 2.63702	 98.8604	 4.32055	 373.692	 3085.39	  151065
0.0555556	 0.65917	 3.38196	  42.742	0.0759876	 2.94031	0.046423	 1.53356	0.219991	  2.6578	 98.8573	  4.3217	 373.502	 3085.55	  153246
0.0590278	0.657844	  3.3219	  42.742	0.0769523	 2.96929	0.0472081	 1.58034	0.230179	 2.67798	 98.8542	 4.32283	 373.313	 3085.72	  155191
  0.0625	0.656522	 3.26318	  42.742	0.0778115	 2.99818	0.0479422	 1.62564	0.240128	 2.69758	 98.8509	 4.32394	 373.124	 3085.88	  156923
0.0659722	0.655212	 3.20592	  42.742	0.0785769	 3.02697	0.0486303	 1.66958	0.249853	 2.71667	 98.8475	 4.32504	 372.935	 3086.04	  158466
0.0694444	0.653918	 3.15021	  42.742	0.0792587	 3.05566	0.0492769	 1.71226	0.259366	 2.73525	 98.8441	 4.32612	 372.746	 3086.19	  159840
0.0729167	0.652639	 3.09612	  42.742	0.0798652	 3.08426	0.0498855	 1.75373	0.268675	 2.75337	 98.8405	 4.32719	 372.557	 3086.35	  161062
0.0763889	0.651374	 3.04374	  42.742	0.0804032	 3.11277	0.0504589	 1.79405	0.277788	 2.77104	 98.8368	 4.32824	 372.368	  3086.5	  162146
0.0798611	0.650121	 2.99306	  42.742	0.0808812	 3.14119	0.0510007	  1.8333	0.286717	 2.78829	 98.8331	 4.32929	 372.179	 3086.64	  163109
0.0833333	0.648879	 2.94417	  42.742	0.0813034	 3.16952	0.0515125	 1.87151	0.295464	 2.80511	 98.8292	 4.33032	 371.989	 3086.79	  163960
0.0868055	0.647646	 2.89705	  42.742	0.0816772	 3.19777	0.0519976	 1.90874	0.304041	 2.82155	 98.8253	 4.33134	   371.8	 3086.93	  164713
0.0902778	0.646421	 2.85173	  42.742	0.0820064	 3.22594	0.0524574	 1.94501	0.312451	 2.83759	 98.8213	 4.33235	  371.61	 3087.08	  165376
 0.09375	0.645204	 2.80821	  42.742	0.0822961	 3.25403	0.052894	 1.98038	0.320701	 2.85326	 98.8173	 4.33335	 371.421	 3087.21	  165959
0.0972222	0.643996	 2.76646	  42.742	0.0825507	 3.28205	0.0533092	 2.01487	0.328797	 2.86856	 98.8132	 4.33434	 371.231	 3087.35	  166471
0.100694	0.642798	 2.72649	  42.742	0.0827736	 3.30999	0.0537045	 2.04851	0.336742	 2.88351	  98.809	 4.33533	 371.041	 3087.49	  166920
0.104167	 0.64161	 2.68831	  42.742	0.082968	 3.33786	0.054081	 2.08132	0.344541	 2.89811	 98.8047	  4.3363	 370.851	 3087.62	  167311
0.107639	0.640435	 2.65185	  42.742	0.0831376	 3.36566	0.0544403	 2.11333	0.352197	 2.91236	 98.8004	 4.33727	  370.66	 3087.75	  167652
0.111111	0.639273	 2.61709	  42.742	0.083285	 3.39339	0.0547836	 2.14456	0.359716	 2.92629	  98.796	 4.33823	  370.47	 3087.88	  167948
0.114583	0.638127	   2.584	  42.742	0.083413	 3.42106	0.055112	 2.17503	  0.3671	 2.93988	 98.7915	 4.33918	 370.279	    3088	  168205
0.118056	0.636997	 2.55255	  42.742	0.083524	 3.44866	0.0554265	 2.20477	0.374353	 2.95314	  98.787	 4.34013	 370.088	 3088.13	  168428
0.121528	0.635886	 2.52272	  42.742	0.0836198	 3.47619	0.0557278	 2.23377	0.381475	 2.96609	 98.7825	 4.34107	 369.898	 3088.25	  168620
   0.125	0.634795	 2.49444	  42.742	0.0837028	 3.50366	0.0560169	 2.26207	 0.38847	 2.97872	 98.7779	 4.34201	 369.707	 3088.37	  168786
0.128472	0.633725	 2.46768	  42.742	0.0837747	 3.53107	0.0562948	 2.28968	0.395341	 2.99103	 98.7733	 4.34293	 369.516	 3088.49	  168930
0.131944	0.632677	 2.44239	  42.742	0.0838371	 3.55841	0.056562	 2.31662	0.402091	 3.00304	 98.7686	 4.34386	 369.325	 3088.61	  169055
0.135417	0.631651	 2.41851	  42.742	0.0838916	 3.58569	0.0568192	 2.34289	 0.40872	 3.01475	 98.7639	 4.34478	 369.134	 3088.72	  169163
0.138889	0.630648	 2.39602	  42.742	0.0839395	 3.61291	0.0570672	 2.36852	0.415232	 3.02616	 98.7591	 4.34569	 368.943	 3088.84	  169259
0.142361	 0.62967	 2.37485	  42.742	0.0839819	 3.64007	0.0573064	 2.39351	0.421627	 3.03727	 98.7543	  4.3466	 368.752	 3088.95	  169343
0.145833	0.628715	 2.35497	  42.742	 0.08402	 3.66717	0.0575373	 2.41788	0.427907	 3.04809	 98.7494	  4.3475	 368.561	 3089.06	  169419
0.149306	0.627785	 2.33633	  42.742	0.0840547	  3.6942	0.0577605	 2.44164	0.434074	 3.05862	 98.7446	  4.3484	  368.37	 3089.17	  169488
0.152778	0.626879	 2.31887	  42.742	0.0840869	 3.72117	0.0579764	  2.4648	0.440129	 3.06887	 98.7396	  4.3493	  368.18	 3089.28	  169551
 0.15625	0.625997	 2.30255	  42.742	0.0841173	 3.74808	0.0581856	 2.48738	0.446075	 3.07884	 98.7347	 4.35019	 367.989	 3089.39	  169612
0.159722	0.625139	 2.28733	  42.742	0.0841467	 3.77492	0.0583882	 2.50938	0.451911	 3.08854	 98.7297	 4.35108	 367.798	 3089.49	  169670
0.163194	0.624304	 2.27315	  42.742	0.0841756	  3.8017	0.0585848	 2.53083	0.457642	 3.09796	 98.7247	 4.35196	 367.608	  3089.6	  169727
0.166667	0.623492	 2.25997	  42.742	0.0842045	 3.82841	0.0587757	 2.55173	0.463266	 3.10712	 98.7197	 4.35284	 367.417	  3089.7	  169784
0.170139	0.622702	 2.24776	  42.742	0.0842339	 3.85506	0.058961	 2.57209	0.468785	 3.11602	 98.7146	 4.35372	 367.227	  3089.8	  169842
0.173611	0.621934	 2.23646	  42.742	0.0842641	 3.88165	0.0591413	 2.59193	0.474202	 3.12466	 98.7096	 4.35459	 367.037	 3089.91	  169902
0.177083	0.621188	 2.22605	  42.742	0.0842956	 3.90817	0.0593166	 2.61124	0.479516	 3.13304	 98.7045	 4.35546	 366.847	 3090.01	  169964
0.180556	0.620462	 2.21647	  42.742	0.0843284	 3.93462	0.0594873	 2.63006	0.484729	 3.14117	 98.6993	 4.35633	 366.658	 3090.11	  170029
0.184028	0.619756	  2.2077	  42.742	0.084363	   3.961	0.0596535	 2.64837	0.489841	 3.14906	 98.6942	 4.35719	 366.468	  3090.2	  170098
  0.1875	0.619069	 2.19969	  42.742	0.0843994	 3.98731	0.0598154	 2.66621	0.494856	 3.15671	  98.689	 4.35806	 366.279	  3090.3	  170170
0.190972	0.618401	  2.1924	  42.742	0.0844378	 4.01356	0.0599734	 2.68358	0.499773	 3.16413	 98.6839	 4.35892	 366.089	  3090.4	  170247
0.194444	0.617751	 2.18582	  42.742	0.0844784	 4.03973	0.0601274	 2.70048	0.504594	 3.17131	 98.6787	 4.35977	 365.901	 3090.49	  170327
0.197917	0.617117	 2.17989	  42.742	0.0845211	 4.06584	0.0602778	 2.71693	0.509321	 3.17827	 98.6735	 4.36063	 365.712	 3090.59	  170412
0.201389	  0.6165	 2.17459	  42.742	0.0845661	 4.09187	0.0604247	 2.73294	0.513953	 3.18501	 98.6682	 4.36148	 365.523	 3090.68	  170502
0.204861	0.615899	  2.1699	  42.742	0.0846134	 4.11783	0.0605681	 2.74852	0.518493	 3.19153	  98.663	 4.36233	 365.335	 3090.78	  170596
0.208333	0.615313	 2.16577	  42.742	0.084663	 4.14371	0.0607082	 2.76368	0.522942	 3.19783	 98.6577	 4.36317	 365.147	 3090.87	  170695
0.211806	0.614742	 2.16219	  42.742	0.0847149	 4.16952	0.0608452	 2.77842	  0.5273	 3.20393	 98.6525	 4.36402	 364.959	 3090.96	  170799
0.215278	0.614184	 2.15913	  42.742	0.0847691	 4.19526	0.0609792	 2.79277	0.531569	 3.20983	 98.6472	 4.36486	 364.772	 3091.05	  170907
 0.21875	 0.61364	 2.15656	  42.742	0.0848256	 4.22091	0.0611102	 2.80672	 0.53575	 3.21553	 98.6419	  4.3657	 364.585	 3091.14	  171020
0.222222	0.613108	 2.15446	  42.742	0.0848843	  4.2465	0.0612384	 2.82029	0.539845	 3.22103	 98.6366	 4.36654	 364.398	 3091.23	  171137
0.225694	0.612588	 2.15281	  42.742	0.0849451	   4.272	0.0613638	 2.83348	0.543853	 3.22635	 98.6313	 4.36738	 364.211	 3091.32	  171259
0.229167	 0.61208	 2.15158	  42.742	0.0850081	 4.29743	0.0614865	 2.84631	0.547777	 3.23148	  98.626	 4.36821	 364.025	 3091.41	  171384
0.232639	0.611583	 2.15075	  42.742	0.0850731	 4.32277	0.0616067	 2.85878	0.551618	 3.23643	 98.6207	 4.36904	 363.838	  3091.5	  171515
0.236111	0.611096	 2.15032	  42.742	0.0851402	 4.34804	0.0617244	  2.8709	0.555376	  3.2412	 98.6154	 4.36988	 363.653	 3091.59	  171649
0.239583	0.610619	 2.15024	  42.742	0.0852091	 4.37322	0.0618397	 2.88268	0.559054	  3.2458	 98.6101	  4.3707	 363.467	 3091.68	  171787
