#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.502984	 4.10977	  42.742	0.164281	 2.27572	0.103132	0.486716	0.0467551	 1.68163	 98.9136	 4.30388	 376.542	 3083.01	  331335
0.00694444	0.539551	 4.02055	  42.742	0.219679	 2.18463	 0.10856	0.522747	0.0721753	 1.60813	 98.9263	 4.30555	 376.357	 3083.13	  443062
0.0104167	0.560079	 3.88521	  42.742	0.248841	 2.10729	0.108461	0.536811	0.0955459	 1.58129	 98.9368	 4.30712	 376.194	  3083.3	  501875
0.0138889	0.571836	 3.74654	  42.742	0.263683	  2.0391	0.108629	0.547973	0.117021	 1.57595	  98.946	 4.30859	 376.035	 3083.48	  531807
0.0173611	0.578648	 3.61162	  42.742	0.273399	 1.97617	0.109452	0.558386	0.137245	 1.57961	 98.9542	 4.30999	 375.877	 3083.68	  551398
0.0208333	0.582352	 3.48142	  42.742	0.281717	 1.91644	0.110635	0.568417	 0.15651	 1.58733	  98.962	 4.31134	 375.718	 3083.87	  568171
0.0243056	0.584055	 3.35725	  42.742	0.290024	 1.85922	0.112019	 0.57855	0.174975	 1.59721	 98.9693	 4.31266	 375.558	 3084.07	  584922
0.0277778	0.584492	  3.2394	  42.742	0.298778	 1.80409	0.113526	0.588885	0.192777	 1.60839	 98.9763	 4.31396	 375.397	 3084.27	  602574
 0.03125	0.584141	 3.12796	  42.742	0.308097	 1.75084	0.115124	0.599417	0.210018	 1.62045	 98.9829	 4.31523	 375.234	 3084.46	  621366
0.0347222	0.583327	 3.02285	  42.742	0.317978	 1.69928	0.116797	0.610109	0.226785	 1.63317	 98.9892	 4.31648	 375.069	 3084.65	  641291
0.0381944	0.582267	 2.92394	  42.742	0.328378	 1.64931	0.118538	0.620909	0.243149	 1.64641	 98.9952	 4.31771	 374.903	 3084.84	  662261
0.0416667	 0.58111	  2.8312	  42.742	 0.33925	 1.60087	0.120345	0.631758	0.259165	  1.6601	 99.0009	 4.31894	 374.735	 3085.02	  684184
0.0451389	0.579955	 2.74432	  42.742	0.350522	 1.55385	0.122215	0.642598	0.274891	 1.67418	 99.0063	 4.32016	 374.565	  3085.2	  706912
0.0486111	0.578865	 2.66314	  42.742	0.362136	  1.5082	0.124146	0.653371	 0.29037	 1.68862	 99.0115	 4.32137	 374.394	 3085.38	  730332
0.0520833	 0.57788	 2.58747	  42.742	0.374032	 1.46388	0.126138	0.664022	 0.30564	 1.70338	 99.0163	 4.32258	 374.221	 3085.55	  754318
0.0555556	0.577021	 2.51707	  42.742	0.386147	 1.42084	0.128189	0.674501	0.320733	 1.71845	  99.021	 4.32378	 374.046	 3085.72	  778746
0.0590278	0.576296	 2.45165	  42.742	0.398419	 1.37904	0.130296	0.684761	0.335681	 1.73381	 99.0253	 4.32499	  373.87	 3085.88	  803491
  0.0625	0.575709	  2.3911	  42.742	0.410792	 1.33849	0.132459	0.694751	0.350504	 1.74946	 99.0295	  4.3262	 373.692	 3086.04	  828437
0.0659722	0.575255	  2.3351	  42.742	0.423204	 1.29912	0.134673	0.704434	0.365226	 1.76538	 99.0333	 4.32742	 373.513	  3086.2	  853463
0.0694444	0.574926	 2.28342	  42.742	0.435602	 1.26092	0.136936	0.713772	0.379865	 1.78155	  99.037	 4.32864	 373.333	 3086.36	  878458
0.0729167	0.574715	 2.23583	  42.742	 0.44793	 1.22386	0.139244	0.722729	0.394437	 1.79798	 99.0404	 4.32986	 373.152	 3086.51	  903315
0.0763889	0.574613	 2.19219	  42.742	0.460138	 1.18796	0.141592	0.731265	0.408954	 1.81466	 99.0435	  4.3311	 372.969	 3086.66	  927927
0.0798611	0.574611	  2.1522	  42.742	0.472179	 1.15318	0.143974	0.739358	0.423429	 1.83158	 99.0465	 4.33235	 372.785	  3086.8	  952202
0.0833333	0.574698	 2.11568	  42.742	 0.48401	  1.1195	0.146385	0.746981	 0.43787	 1.84873	 99.0492	  4.3336	 372.601	 3086.95	  976053
0.0868055	0.574866	 2.08242	  42.742	0.495592	 1.08692	0.148818	0.754113	0.452285	  1.8661	 99.0517	 4.33487	 372.415	 3087.09	  999401
0.0902778	0.575106	 2.05222	  42.742	 0.50689	  1.0554	0.151267	0.760734	0.466682	 1.88368	  99.054	 4.33615	 372.228	 3087.23	1.02218e+06
 0.09375	0.575413	 2.02495	  42.742	0.517869	 1.02497	0.153725	 0.76682	0.481064	 1.90147	 99.0561	 4.33744	 372.041	 3087.36	1.04431e+06
0.0972222	0.575778	 2.00043	  42.742	0.528501	0.995597	0.156184	0.772359	0.495435	 1.91944	 99.0579	 4.33875	 371.853	  3087.5	1.06574e+06
