#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	 0.50548	 4.12931	  42.742	0.0795959	 2.39362	0.0711432	0.517443	0.0480307	 1.88053	 98.8962	   4.304	 376.533	 3082.99	  160536
0.00694444	0.549823	 4.09081	  42.742	0.0908177	 2.38177	0.0782834	0.591349	0.0776273	 1.88151	 98.8974	 4.30607	 376.323	  3083.1	  183167
0.0104167	0.579117	 4.01186	  42.742	0.101328	 2.36859	0.0833711	0.647555	0.106836	 1.88089	 98.8987	 4.30819	 376.128	 3083.26	  204364
0.0138889	0.597728	 3.92333	  42.742	0.109794	 2.35655	0.0874862	0.698433	 0.13433	 1.88296	 98.8997	 4.31022	 375.939	 3083.44	  221436
0.0173611	0.609278	 3.83107	  42.742	0.116955	 2.34614	0.0913364	0.745336	 0.16043	 1.88839	 98.9005	 4.31219	 375.754	 3083.62	  235878
0.0208333	0.616077	 3.73628	  42.742	0.123381	 2.33671	0.0951273	0.788712	0.185348	 1.89595	  98.901	 4.31409	  375.57	 3083.81	  248836
0.0243056	0.619695	 3.64096	  42.742	0.129415	 2.32802	0.0989481	0.829393	0.209212	 1.90479	 98.9014	 4.31595	 375.389	 3083.99	  261006
0.0277778	0.621239	  3.5464	  42.742	0.135245	 2.31986	0.102837	0.867939	0.232156	 1.91438	 98.9016	 4.31777	 375.209	 3084.18	  272762
 0.03125	0.621443	 3.45347	  42.742	0.140962	 2.31211	0.106819	0.904735	0.254282	  1.9244	 98.9017	 4.31954	 375.029	 3084.36	  284291
0.0347222	0.620811	 3.36283	  42.742	0.146614	 2.30467	0.110913	 0.94008	0.275677	 1.93465	 98.9017	 4.32128	 374.849	 3084.55	  295688
0.0381944	0.619683	 3.27496	  42.742	0.152224	 2.29749	0.115139	0.974201	0.296417	 1.94501	 98.9015	 4.32299	  374.67	 3084.73	  307000
0.0416667	0.618283	 3.19018	  42.742	0.157802	 2.29052	0.119517	 1.00727	0.316566	 1.95542	 98.9013	 4.32468	 374.491	  3084.9	  318249
0.0451389	0.616758	  3.1088	  42.742	0.163351	 2.28374	0.124068	 1.03941	 0.33617	 1.96582	  98.901	 4.32634	 374.311	 3085.07	  329439
0.0486111	0.615201	 3.03089	  42.742	0.168869	 2.27712	0.128807	 1.07075	0.355286	 1.97619	 98.9007	 4.32797	 374.131	 3085.24	  340566
0.0520833	0.613669	 2.95656	  42.742	0.174351	 2.27064	0.133752	 1.10135	0.373954	 1.98649	 98.9002	 4.32959	  373.95	 3085.41	  351620
0.0555556	0.612193	  2.8859	  42.742	0.179788	 2.26429	0.138923	 1.13128	0.392204	 1.99673	 98.8997	 4.33119	 373.769	 3085.57	  362582
