#.t	.Aer_Anox_ZP.C(S_A)	.Aer_Anox_ZP.C(S_F)	.Aer_Anox_ZP.C(S_I)	.Aer_Anox_ZP.C(S_N2O)	.Aer_Anox_ZP.C(S_NH)	.Aer_Anox_ZP.C(S_NO)	.Aer_Anox_ZP.C(S_NO2)	.Aer_Anox_ZP.C(S_NO3)	.Aer_Anox_ZP.C(S_O)	.Aer_Anox_ZP.C(X_BA1)	.Aer_Anox_ZP.C(X_BA2)	.Aer_Anox_ZP.C(X_H)	.Aer_Anox_ZP.C(X_TSS)	.Aer_Anox_ZP.FluxN2O_gas
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d
       0	0.449869	 4.21568	  42.742	0.0460128	  2.3963	0.0565285	0.492947	0.0173533	 1.80465	 98.8969	 4.30192	 376.727	 3082.91	 92803.7
0.00347222	0.502988	 4.10955	  42.742	0.169265	 2.26815	0.106531	0.484757	0.0467149	  1.6682	 98.9147	 4.30388	 376.542	 3083.01	  341388
0.00694444	0.539279	   4.019	  42.742	0.227947	 2.17202	 0.11252	0.519124	0.0719559	 1.58901	 98.9282	 4.30553	 376.358	 3083.13	  459739
0.0104167	0.559379	 3.88159	  42.742	0.258696	 2.09095	  0.1124	0.531107	0.0950384	 1.56044	 98.9392	 4.30707	 376.196	  3083.3	  521750
0.0138889	0.570798	 3.74112	  42.742	0.274091	 2.01981	0.112468	0.540398	0.116224	 1.55494	 98.9488	 4.30851	 376.038	 3083.49	  552796
0.0173611	0.577392	 3.60468	  42.742	0.283959	 1.95428	0.113185	0.549142	0.136176	 1.55893	 98.9574	 4.30988	 375.881	 3083.68	  572697
0.0208333	0.580976	 3.47328	  42.742	0.292281	 1.89217	 0.11426	0.557677	0.155191	  1.5672	 98.9655	 4.31121	 375.723	 3083.88	  589476
0.0243056	 0.58262	 3.34825	  42.742	0.300546	 1.83278	0.115535	0.566468	0.173424	 1.57775	 98.9731	 4.31251	 375.564	 3084.07	  606143
0.0277778	0.583056	 3.22979	  42.742	0.309254	 1.77567	 0.11693	0.575585	0.191017	 1.58967	 98.9803	 4.31378	 375.403	 3084.27	  623703
 0.03125	0.582738	 3.11797	  42.742	 0.31854	 1.72059	0.118414	0.585003	0.208072	 1.60254	 98.9872	 4.31503	 375.241	 3084.46	  642427
0.0347222	0.581982	 3.01266	  42.742	0.328406	 1.66738	0.119971	0.594664	0.224675	 1.61612	 98.9937	 4.31626	 375.077	 3084.66	  662321
0.0381944	0.580997	 2.91375	  42.742	0.338811	 1.61593	0.121594	0.604503	0.240894	 1.63028	 98.9999	 4.31748	 374.911	 3084.84	  683301
0.0416667	0.579927	 2.82114	  42.742	0.349702	 1.56615	0.123283	 0.61445	0.256788	 1.64494	 99.0058	 4.31869	 374.743	 3085.03	  705262
0.0451389	0.578868	 2.73446	  42.742	0.361003	 1.51794	0.125032	0.624436	0.272414	 1.66003	 99.0114	 4.31989	 374.574	 3085.21	  728050
0.0486111	0.577882	 2.65369	  42.742	0.372661	 1.47127	0.126843	0.634395	 0.28781	 1.67552	 99.0167	 4.32109	 374.402	 3085.38	  751556
0.0520833	0.577003	 2.57843	  42.742	0.384599	 1.42606	0.128713	 0.64427	0.303018	 1.69136	 99.0216	 4.32229	 374.229	 3085.56	  775628
0.0555556	0.576252	 2.50848	  42.742	0.396756	 1.38226	0.130643	0.654003	0.318071	 1.70755	 99.0264	 4.32349	 374.055	 3085.72	  800140
0.0590278	0.575641	 2.44373	  42.742	0.409068	 1.33988	0.132631	 0.66354	0.332994	 1.72407	 99.0308	 4.32469	 373.879	 3085.89	  824965
  0.0625	0.575166	 2.38374	  42.742	0.421469	 1.29883	0.134674	0.672838	0.347814	 1.74089	  99.035	 4.32589	 373.701	 3086.05	  849968
0.0659722	0.574827	 2.32843	  42.742	0.433898	 1.25912	0.136773	0.681846	0.362549	 1.75801	 99.0389	  4.3271	 373.522	 3086.21	  875028
0.0694444	0.574613	 2.27748	  42.742	0.446295	 1.22071	0.138922	0.690528	 0.37722	 1.77541	 99.0425	 4.32832	 373.341	 3086.36	  900023
0.0729167	0.574516	 2.23063	  42.742	0.458605	 1.18356	0.141117	 0.69885	 0.39184	 1.79308	 99.0459	 4.32955	 373.159	 3086.52	  924842
0.0763889	0.574526	  2.1877	  42.742	0.470775	 1.14766	0.143356	0.706775	0.406422	   1.811	  99.049	 4.33078	 372.976	 3086.66	  949377
0.0798611	0.574634	 2.14848	  42.742	0.482756	   1.113	0.145632	0.714273	0.420976	 1.82917	 99.0519	 4.33203	 372.792	 3086.81	  973530
0.0833333	 0.57483	 2.11276	  42.742	0.494499	 1.07956	0.147941	0.721313	0.435511	 1.84757	 99.0546	 4.33329	 372.607	 3086.95	  997204
0.0868055	0.575103	 2.08031	  42.742	0.505969	  1.0473	0.150275	0.727881	0.450034	 1.86619	  99.057	 4.33456	 372.421	 3087.09	1.02033e+06
0.0902778	0.575446	 2.05092	  42.742	 0.51713	  1.0162	0.152627	0.733955	0.464551	   1.885	 99.0592	 4.33585	 372.234	 3087.23	1.04283e+06
 0.09375	0.575849	 2.02442	  42.742	0.527951	0.986259	0.154991	0.739519	0.479065	 1.90401	 99.0611	 4.33715	 372.046	 3087.37	1.06464e+06
0.0972222	0.576305	 2.00064	  42.742	0.538406	0.957446	0.157359	0.744559	0.493578	 1.92317	 99.0629	 4.33846	 371.857	  3087.5	1.08571e+06
